04-01;Deuteronomy+18:1-20:20;Luke+9:28-50;Psalm+73:1-28;Proverbs+12:10
04-02;Deuteronomy+21:1-22:30;Luke+9:51-10:12;Psalm+74:1-23;Proverbs+12:11
04-03;Deuteronomy+23:1-25:19;Luke+10:13-37;Psalm+75:1-10;Proverbs+12:12-14
04-04;Deuteronomy+26:1-27:26;Luke+10:38-11:13;Psalm+76:1-12;Proverbs+12:15-17
04-05;Deuteronomy+28:1-29:20;Luke+11:14-36;Psalm+77:1-20;Proverbs+12:18
04-06;Deuteronomy+29:1-30:20;Luke+11:37-12:7;Psalm+78:1-31;Proverbs+12:19-20
04-07;Deuteronomy+31:1-32:27;Luke+12:8-34;Psalm+78:32-55;Proverbs+12:21-23
04-08;Deuteronomy+32:28-52;Luke+12:35-59;Psalm+78:56-64;Proverbs+12:24
04-09;Deuteronomy+33:1-29;Luke+13:1-21;Psalm+78:65-72;Proverbs+12:25
04-10;Deuteronomy+34:1-12+Joshua+1:1-2:24;Luke+13:22-14:6;Psalm+79:1-13;Proverbs+12:26
04-11;Joshua+3:1-4:24;Luke+14:7-35;Psalm+80:1-19;Proverbs+12:27-28
04-12;Joshua+5:1-7:15;Luke+15:1-32;Psalm+81:1-16;Proverbs+13:1
04-13;Joshua+7:16-9:2;Luke+16:1-18;Psalm+82:1-8;Proverbs+13:2-3
04-14;Joshua+9:3-10:43;Luke+16:19-17:10;Psalm+83:1-18;Proverbs+13:4
04-15;Joshua+11:1-12:24;Luke+17:11-37;Psalm+84:1-12;Proverbs+13:5-6
04-16;Joshua+13:1-14:15;Luke+18:1-17;Psalm+85:1-13;Proverbs+13:7-8
04-17;Joshua+15:1-63;Luke+18:18-43;Psalm+86:1-17;Proverbs+13:9-10
04-18;Joshua+16:1-18:28;Luke+19:1-27;Psalm+87:1-7;Proverbs+13:11
04-19;Joshua+19:1-20:9;Luke+19:28-48;Psalm+88:1-18;Proverbs+13:12-14
04-20;Joshua+21:1-22:20;Luke+20:1-26;Psalm+89:1-13;Proverbs+13:15-16
04-21;Joshua+22:21-23:16;Luke+20:27-47;Psalm+89:14-37;Proverbs+13:17-19
04-22;Joshua+24:1-33;Luke+21:1-28;Psalm+89:38-52;Proverbs+13:20-23
04-23;Judges+1:1-2:9;Luke+21:29-Luk22:13;Psalm+90:1-91:16;Proverbs+13:24-25
04-24;Judges+2:10-3:31;Luke+22:14-34;Psalm+92:1-93:5;Proverbs+14:1-2
04-25;Judges+4:1-5:31;Luke+22:35-53;Psalm+94:1-23;Proverbs+14:3-4
04-26;Judges+6:1-40;Luke+22:54-23:12;Psalm+95:1-96:13;Proverbs+14:5-6
04-27;Judges+7:1-8:17;Luke+23:13-43;Psalm+97:1-98:9;Proverbs+14:7-8
04-28;Judges+8:18-9:21;Luke+23:44-24:12;Psalm+99:1-9;Proverbs+14:9-10
04-29;Judges+9:22-10:18;Luke+24:13-53;Psalm+100:1-5,Proverbs+14:11-12
04-30;Judges+11:1-12:15;John+1:1-28;Psalm+101:1-8;Proverbs+14:13-14
