2-1;Exodus+13:17-15:18;Matthew+21:23-46;Psalm+26:1-12;Proverbs+6:16-19
2-2;Exodus+15:19-17:7;Matthew22+:1-33;Psalm+27:1-6;Proverbs+6:20-26
2-3;Exodus+17:8-19:15;Matthew22+:34-23:12;Psalm+27:7-14;Proverbs+6:27-35
2-4;Exodus+19:16-21:21;Matthew+23:13-39;Psalm+28:1-9;Proverbs+7:1-5
2-5;Exodus+21:22-23:13;Matthew+24:1-28;Psalm+29:1-11;Proverbs+7:6-23
2-6;Exodus+23:14-25:40;Matthew+24:29-51;Psalm+30:1-12;Proverbs+7:24-27
2-7;Exodus+26:1-27:21;Matthew+25:1-30;Psalm+31:1-8;Proverbs+8:1-11
2-8;Exodus+28:1-43;Matthew+25:31-26:13;Psalm+31:9-18;Proverbs+8:12-13
2-9;Exodus+29:1-30:10;Matthew+26:14-46;Psalm+31:19-24;Proverbs+8:14-26
2-10;Exodus+30:11-31:18;Matthew+26:47-68;Psalm+32:1-11;Proverbs+8:27-32
2-11;Exodus+32:1-33:23;Matthew+26:69-75,Matthew27:1-14;Psalm+33:1-11;Proverbs+8:33-36
2-12;Exodus+34:1-35:9;Matthew+27:15-31;Psalm+33:12-22;Proverbs+9:1-6
2-13;Exodus+35:10-36:38;Matthew+27:32-66;Psalm+34:1-10;Proverbs+9:7-8
2-14;Exodus+37:1-38:31;Matthew+28:1-20;Psalm+34:11-22;Proverbs+9:9-10
2-15;Exodus+39:1-40:38;Mark+1:1-28;Psalm+35:1-16;Proverbs+9:11-12
2-16;Leviticus+1:1-3:17;Mark+1:29-2:12;Psalm+35:17-28;Proverbs+9:13-18
2-17;Leviticus+4:1-5:19;Mark+2:13-3:6;Psalm+36:1-12;Proverbs+10:1-2
2-18;Leviticus+6:1-7:27;Mark+3:7-30;Psalm+37:1-11;Proverbs+10:3-4
2-19;Leviticus+7:28-9:6;Mark+3:31-4:25;Psalm+37:12-29;Proverbs+10:5
2-20;Leviticus+9:7-10:20;Mark+4:26-5:20;Psalm+37:30-40;Proverbs+10:6-7
2-21;Leviticus+11:1-12:8;Mark+5:21-43;Psalm+38:1-22;Proverbs+10:8-9
2-22;Leviticus+13:1-59;Mark+6:1-29;Psalm+39:1-13;Proverbs+10:10
2-23;Leviticus+14:1-57;Mark+6:30-56;Psalm+40:1-10;Proverbs+10:11-12
2-24;Leviticus+15:1-16:28;Mark+7:1-23;Psalm+40:11-17;Proverbs+10:13-14
2-25;Leviticus+16:29-18:30;Mark+7:24-8:10;Psalm+41:1-13;Proverbs+10:15-16
2-26;Leviticus+19:1-20:21;Mark+8:11-38;Psalm+42:1-11;Proverbs+10:17
2-27;Leviticus+20:22-22:16;Mark+9:1-29;Psalm+43:1-5;Proverbs+10:18
2-28;Leviticus+22:17-23:44;Mark+9:30-10:12;Psalm+44:1-8;Proverbs+10:19
