10-01;Isaiah+62:6-65:25;Philippians+2:19-3:4;Psalm+73:1-28;Proverbs+24:13-14
10-02;Isaiah+66:1-24;Philippians+3:4-21;Psalm+74:1-23;Proverbs+24:15-16
10-03;Jeremiah+1:1-2:30;Philippians+4:1-23;Psalm+75:1-10;Proverbs+24:17-20
10-04;Jeremiah+2:31-4:18;Colossians+1:1-20;Psalm+76:1-12;Proverbs+24:21-22
10-05;Jeremiah+4:19-6:14;Colossians+1:21-2:7;Psalm+77:1-20;Proverbs+24:23-25
10-06;Jeremiah+6:15-8:7;Colossians+2:8-23;Psalm+78:1-31;Proverbs+24:26
10-07;Jeremiah+8:8-9:26;Colossians+3:1-17;Psalm+78:32-55;Proverbs+24:27
10-08;Jeremiah+10:1-11:23;Colossians+3:18-4:18;Psalm+78:56-72;Proverbs+24:28-29
10-09;Jeremiah+12:1-14:10;1Thessalonians+1:1-2:9;Psalm+79:1-13;Proverbs+24:30-34
10-10;Jeremiah+14:11-16:15;1Thessalonians+2:10-3:13;Psalm+80:1-19;Proverbs+25:1-5
10-11;Jeremiah+16:16-18:23;1Thessalonians+4:1-5:3;Psalm+81:1-16;Proverbs+25:6-7
10-12;Jeremiah+19:1-21:14;1Thessalonians+5:4-28;Psalm+82:1-8;Proverbs+25:8-10
10-13;Jeremiah+22:1-23:20;2Thessalonians+1:1-12;Psalm+83:1-18;Proverbs+25:11-14
10-14;Jeremiah+23:21-25:38;2Thessalonians+2:1-17;Psalm+84:1-12;Proverbs+25:15
10-15;Jeremiah+26:1-27:22;2Thessalonians+3:1-18;Psalm+85:1-13;Proverbs+25:16
10-16;Jeremiah+28;1-29:32;1Timothy+1:1-20;Psalm+86:1-17;Proverbs+25:17
10-17;Jeremiah+30:1-31:26;1Timothy+2:1-15;Psalm+87:1-7;Proverbs+25:18-19
10-18;Jeremiah+31:27-32:44;1Timothy+3:1-16;Psalm+88:1-18;Proverbs+25:20-22
10-19;Jeremiah+33:1-34:22;1Timothy+4:1-16;Psalm+89:1-13;Proverbs+25:23-24
10-20;Jeremiah+35:1-36:32;1Timothy+5:1-25;Psalm+89:14-37;Proverbs+25:25-27
10-21;Jeremiah+37:1-38:28;1Timothy+6:1-21;Psalm+89:38-52;Proverbs+25:28
10-22;Jeremiah+39:1-41:18;2Timothy+1:1-18;Psalm+90:1-91:16;Proverbs+26:1-2
10-23;Jeremiah+42:1-44:23;2Timothy+2:1-21;Psalm+92:1-93:5;Proverbs+26:3-5
10-24;Jeremiah+44:24-47:7;2Timothy+2:22-3:17;Psalm+94:1-23;Proverbs+26:6-8
10-25;Jeremiah+48:1-49:22;2Timothy+4:1-22;Psalm+95:1-96:13;Proverbs+26:9-12
10-26;Jeremiah+49:23-50:46;Titus+1:1-16;Psalm+97:1-98:9;Proverbs+26:13-16
10-27;Jeremiah+51:1-53;Titus+2:1-15;Psalm+99:1-9;Proverbs+26:17
10-28;Jeremiah+51:54-52:34;Titus+3:1-15;Psalm+100:1-5;Proverbs+26:18-19
10-29;Lamentations+1:1-2:19;Philemon+1:1-25;Psalm+101:1-8;Proverbs+26:20
10-30;Lamentations+2:20-3:66;Hebrews+1:1-14;Psalm+102:1-28;Proverbs+26:21-22
10-31;Lamentations+4:1-5:22;Hebrews+2:1-18;Psalm+103:1-22;Proverbs+26:23



